customer_id,tx_date,amount,category,channel
1,2024-09-30,48.82,Home,App
1,2023-05-01,19.71,Grocery,App
1,2024-08-20,54.69,Electronics,App
1,2023-04-21,18.34,Beauty,App
1,2023-07-04,36.61,Fashion,Web
1,2024-11-06,34.25,Fashion,App
1,2024-12-18,19.9,Electronics,App
1,2023-10-22,55.84,Fashion,App
1,2023-12-27,25.39,Grocery,App
1,2024-04-09,26.8,Grocery,Web
1,2023-10-19,36.7,Grocery,App
1,2024-04-18,18.59,Beauty,App
2,2025-04-16,30.33,Home,App
2,2025-03-29,11.87,Fashion,Web
2,2025-06-06,10.6,Grocery,App
2,2024-12-17,17.22,Beauty,Web
3,2025-06-07,18.82,Grocery,App
3,2025-04-01,8.98,Electronics,App
3,2025-03-22,28.32,Grocery,Web
3,2024-12-26,20.3,Beauty,App
3,2025-02-24,8.26,Grocery,App
3,2024-08-31,17.05,Fashion,Web
3,2024-08-25,3.81,Grocery,Web
3,2025-03-16,11.62,Fashion,App
4,2025-04-27,13.04,Grocery,Web
4,2024-05-07,31.55,Home,App
4,2024-07-18,38.37,Home,App
4,2025-06-24,40.61,Beauty,Retail
4,2024-11-05,27.52,Grocery,Web
4,2024-10-15,38.61,Beauty,Web
4,2024-12-20,39.65,Beauty,App
4,2025-01-27,10.35,Beauty,Web
4,2024-10-11,16.51,Fashion,Retail
4,2024-03-02,14.22,Fashion,Web
4,2024-03-18,24.79,Fashion,App
4,2025-06-19,12.43,Fashion,Web
4,2025-04-11,26.24,Fashion,App
4,2024-10-05,21.96,Fashion,Web
4,2025-06-27,25.17,Home,Web
5,2025-03-18,32.43,Grocery,App
5,2024-02-26,22.21,Beauty,Retail
5,2024-05-15,11.51,Grocery,Retail
5,2025-01-05,60.66,Home,Web
5,2025-03-15,18.03,Electronics,App
5,2024-07-21,6.66,Home,App
5,2024-02-22,17.01,Electronics,App
5,2025-06-07,8.14,Fashion,Web
5,2024-07-08,15.43,Fashion,App
5,2024-06-02,29.39,Beauty,App
5,2025-06-26,22.65,Beauty,App
6,2025-05-30,35.05,Electronics,Web
6,2025-05-29,16.58,Home,App
6,2025-05-05,31.59,Grocery,App
6,2025-06-04,29.82,Grocery,App
6,2025-04-10,13.67,Fashion,App
6,2025-06-02,17.25,Home,App
6,2025-05-12,29.35,Fashion,App
6,2025-05-03,32.55,Home,App
6,2025-02-25,26.59,Beauty,App
7,2024-06-03,4.22,Electronics,Web
7,2025-02-17,26.36,Fashion,App
7,2024-10-05,18.89,Fashion,App
7,2025-02-15,19.85,Home,Retail
7,2025-05-13,29.97,Home,App
7,2025-01-06,15.26,Electronics,Web
7,2025-03-22,9.86,Beauty,Web
7,2024-09-23,39.95,Fashion,Web
7,2023-09-03,19.55,Fashion,App
7,2023-10-19,10.49,Fashion,Web
7,2025-04-22,23.39,Grocery,App
7,2024-01-16,20.0,Home,App
7,2025-01-17,18.17,Beauty,Web
7,2023-05-05,19.88,Fashion,App
8,2024-12-17,17.12,Grocery,App
8,2025-05-23,12.19,Beauty,App
8,2025-05-08,7.3,Beauty,Web
8,2024-12-31,37.22,Home,App
8,2025-04-11,15.04,Home,App
8,2025-01-24,59.01,Fashion,App
8,2025-06-09,23.19,Home,Web
8,2025-03-05,9.03,Electronics,Web
9,2024-12-05,14.44,Electronics,App
9,2023-07-05,20.49,Fashion,App
9,2024-05-28,34.5,Fashion,App
9,2024-11-11,14.51,Grocery,App
9,2023-08-01,13.24,Fashion,App
9,2024-01-31,22.78,Fashion,Web
9,2025-01-01,13.97,Home,App
9,2025-04-16,138.91,Beauty,App
9,2024-02-14,13.79,Electronics,Web
10,2025-02-23,12.84,Electronics,App
10,2023-04-26,27.17,Home,Retail
10,2024-06-09,23.29,Grocery,App
11,2024-08-17,36.31,Home,App
11,2024-11-08,5.74,Grocery,App
11,2025-05-22,19.18,Fashion,Web
11,2024-07-12,17.49,Electronics,App
11,2024-09-26,45.55,Fashion,Retail
12,2025-06-26,12.8,Grocery,Web
12,2025-06-23,13.85,Fashion,Web
12,2025-06-08,13.65,Grocery,App
12,2025-06-24,24.16,Beauty,Web
12,2025-06-26,34.49,Fashion,App
12,2025-06-26,5.58,Electronics,App
12,2025-06-10,35.64,Fashion,App
12,2025-06-09,16.23,Home,App
12,2025-06-08,27.43,Home,Web
12,2025-06-10,29.57,Fashion,App
12,2025-06-28,28.06,Fashion,Web
12,2025-06-23,26.58,Home,App
12,2025-06-21,32.7,Grocery,App
12,2025-06-17,34.21,Fashion,Retail
13,2025-02-04,23.6,Electronics,App
13,2025-02-27,21.89,Beauty,Web
13,2025-04-15,12.56,Grocery,Retail
13,2025-02-09,35.1,Grocery,App
13,2024-12-06,18.67,Grocery,Retail
13,2025-03-26,19.22,Home,Retail
13,2025-04-09,17.35,Grocery,Web
13,2024-12-15,14.31,Beauty,App
14,2025-04-18,11.51,Grocery,Web
14,2025-06-20,30.76,Fashion,Web
14,2024-11-28,13.66,Home,Web
14,2025-02-20,4.71,Grocery,Retail
14,2025-03-25,32.47,Home,App
15,2024-12-30,24.41,Fashion,App
15,2025-03-14,48.98,Fashion,App
15,2025-02-05,87.65,Fashion,App
16,2025-05-03,17.92,Grocery,App
16,2025-06-19,36.49,Electronics,App
16,2024-12-21,8.18,Beauty,App
16,2025-03-09,42.4,Grocery,Web
16,2025-01-31,15.91,Grocery,Web
16,2025-06-11,20.25,Fashion,Retail
16,2025-05-13,10.37,Home,Web
17,2024-10-27,24.43,Beauty,Retail
17,2024-04-24,33.48,Beauty,App
17,2024-09-23,17.32,Beauty,App
17,2025-03-12,61.1,Electronics,Retail
17,2025-01-19,16.95,Grocery,Web
17,2024-08-28,35.62,Electronics,App
17,2024-12-07,19.45,Grocery,App
17,2024-12-24,15.78,Beauty,App
17,2025-03-07,21.55,Electronics,Retail
17,2024-10-24,40.76,Electronics,App
18,2024-12-23,8.89,Fashion,Web
18,2024-02-09,16.39,Home,App
18,2025-04-18,95.75,Grocery,App
18,2024-12-05,14.91,Grocery,App
18,2023-11-02,9.41,Fashion,App
18,2025-05-17,7.59,Beauty,App
18,2025-05-12,9.18,Grocery,App
18,2025-01-05,47.19,Home,App
19,2025-02-28,20.6,Fashion,App
19,2025-05-15,8.53,Fashion,Web
19,2025-06-19,24.3,Fashion,Web
19,2025-06-15,18.47,Electronics,App
19,2025-05-15,17.84,Beauty,Web
19,2025-03-22,68.8,Grocery,App
19,2025-05-26,11.47,Fashion,App
19,2025-04-28,12.28,Beauty,App
19,2025-06-19,26.48,Fashion,Web
20,2024-07-05,23.49,Fashion,Web
20,2025-05-06,19.68,Beauty,App
20,2024-04-12,120.79,Grocery,Web
20,2024-09-11,18.11,Grocery,Web
20,2024-03-08,31.68,Electronics,Retail
20,2024-04-30,51.51,Beauty,App
20,2025-05-31,27.56,Fashion,Retail
20,2025-04-15,15.24,Fashion,App
20,2025-06-28,31.28,Fashion,App
20,2025-04-13,11.75,Home,App
20,2024-04-23,34.91,Grocery,Web
21,2024-05-19,27.91,Grocery,App
21,2025-04-03,29.44,Home,Retail
21,2024-10-16,40.68,Home,App
21,2025-01-05,10.69,Grocery,Web
21,2024-04-03,18.46,Electronics,App
21,2024-12-17,7.09,Home,App
21,2024-04-14,4.31,Grocery,App
21,2024-04-12,44.78,Grocery,App
22,2025-03-10,42.87,Home,Web
22,2025-02-08,15.72,Fashion,App
22,2024-12-20,11.33,Home,App
22,2023-12-29,24.46,Electronics,Retail
23,2025-03-09,108.65,Beauty,Retail
23,2025-01-25,51.14,Fashion,Web
23,2024-05-07,23.59,Fashion,App
23,2024-10-01,32.27,Electronics,Retail
23,2023-08-05,274.65,Fashion,App
23,2024-12-22,11.26,Electronics,App
23,2025-03-20,17.8,Home,App
23,2023-09-04,51.85,Fashion,App
23,2025-05-16,54.73,Fashion,Web
23,2025-02-26,37.62,Electronics,Web
23,2024-10-02,14.96,Fashion,Web
24,2025-04-30,8.92,Grocery,App
24,2025-06-29,34.93,Electronics,App
24,2025-06-15,45.44,Grocery,App
24,2025-06-21,44.36,Home,Web
24,2025-06-15,12.31,Beauty,Web
25,2025-03-04,28.26,Home,Web
25,2025-02-17,36.16,Home,Web
25,2025-01-24,19.62,Beauty,App
25,2025-01-19,29.39,Electronics,Retail
25,2025-03-04,12.92,Grocery,App
25,2025-03-27,10.9,Beauty,Web
26,2025-05-27,46.82,Grocery,Web
26,2025-02-02,10.83,Fashion,App
26,2024-12-22,15.93,Beauty,App
26,2024-10-31,32.82,Home,Web
26,2024-10-10,22.29,Grocery,App
26,2025-03-13,28.2,Beauty,App
26,2025-05-09,34.04,Fashion,App
27,2025-01-29,9.25,Home,Web
27,2024-08-24,25.05,Beauty,Web
27,2024-10-12,12.28,Grocery,Web
27,2024-06-12,10.24,Electronics,Web
27,2025-01-09,43.01,Home,App
27,2024-07-15,28.65,Home,App
27,2024-06-10,25.66,Grocery,Web
27,2024-04-09,33.18,Fashion,App
27,2024-01-10,13.85,Grocery,Retail
27,2024-03-22,34.59,Fashion,Web
28,2025-04-02,23.31,Grocery,Web
